id	difficulty	category	question	answer1	answer2	answer3	answer4	correct	explanation	reference
testament-27	fácil	estrutura da Bíblia	A qual Testamento pertence Daniel?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Daniel pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Daniel
chapters-27	difícil	estrutura da Bíblia	Quantos capítulos possui Daniel?	13	17	12	11	2	Daniel possui 12 capítulos.	Estrutura de Daniel
next-27	médio	ordem bíblica	Qual livro vem imediatamente depois de Daniel?	Judas	Oseias	Habacuque	2 Coríntios	1	Oseias vem depois de Daniel na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-27	médio	ordem bíblica	Qual livro vem imediatamente antes de Daniel?	Miqueias	Romanos	2 João	Ezequiel	3	Ezequiel vem antes de Daniel na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-28	fácil	estrutura da Bíblia	A qual Testamento pertence Oseias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Oseias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Oseias
chapters-28	difícil	estrutura da Bíblia	Quantos capítulos possui Oseias?	19	14	13	15	1	Oseias possui 14 capítulos.	Estrutura de Oseias
next-28	médio	ordem bíblica	Qual livro vem imediatamente depois de Oseias?	Joel	Sofonias	Gálatas	Apocalipse	0	Joel vem depois de Oseias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-28	médio	ordem bíblica	Qual livro vem imediatamente antes de Oseias?	1 Coríntios	3 João	Daniel	Naum	2	Daniel vem antes de Oseias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-29	fácil	estrutura da Bíblia	A qual Testamento pertence Joel?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Joel pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Joel
chapters-29	difícil	estrutura da Bíblia	Quantos capítulos possui Joel?	3	2	4	5	0	Joel possui 3 capítulos.	Estrutura de Joel
next-29	médio	ordem bíblica	Qual livro vem imediatamente depois de Joel?	Ageu	Efésios	Gênesis	Amós	3	Amós vem depois de Joel na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-29	médio	ordem bíblica	Qual livro vem imediatamente antes de Joel?	Judas	Oseias	Habacuque	2 Coríntios	1	Oseias vem antes de Joel na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-30	fácil	estrutura da Bíblia	A qual Testamento pertence Amós?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Amós pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Amós
chapters-30	difícil	estrutura da Bíblia	Quantos capítulos possui Amós?	8	10	14	9	3	Amós possui 9 capítulos.	Estrutura de Amós
next-30	médio	ordem bíblica	Qual livro vem imediatamente depois de Amós?	Filipenses	Êxodo	Obadias	Zacarias	2	Obadias vem depois de Amós na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-30	médio	ordem bíblica	Qual livro vem imediatamente antes de Amós?	Joel	Sofonias	Gálatas	Apocalipse	0	Joel vem antes de Amós na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-31	fácil	estrutura da Bíblia	A qual Testamento pertence Obadias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Obadias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Obadias
chapters-31	difícil	estrutura da Bíblia	Quantos capítulos possui Obadias?	2	5	1	3	2	Obadias possui 1 capítulo.	Estrutura de Obadias
next-31	médio	ordem bíblica	Qual livro vem imediatamente depois de Obadias?	Levítico	Jonas	Malaquias	Colossenses	1	Jonas vem depois de Obadias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-31	médio	ordem bíblica	Qual livro vem imediatamente antes de Obadias?	Ageu	Efésios	Gênesis	Amós	3	Amós vem antes de Obadias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-32	fácil	estrutura da Bíblia	A qual Testamento pertence Jonas?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Jonas pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Jonas
chapters-32	difícil	estrutura da Bíblia	Quantos capítulos possui Jonas?	6	4	3	5	1	Jonas possui 4 capítulos.	Estrutura de Jonas
next-32	médio	ordem bíblica	Qual livro vem imediatamente depois de Jonas?	Miqueias	Mateus	1 Tessalonicenses	Números	0	Miqueias vem depois de Jonas na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-32	médio	ordem bíblica	Qual livro vem imediatamente antes de Jonas?	Filipenses	Êxodo	Obadias	Zacarias	2	Obadias vem antes de Jonas na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-33	fácil	estrutura da Bíblia	A qual Testamento pertence Miqueias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Miqueias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Miqueias
chapters-33	difícil	estrutura da Bíblia	Quantos capítulos possui Miqueias?	7	6	8	12	0	Miqueias possui 7 capítulos.	Estrutura de Miqueias
next-33	médio	ordem bíblica	Qual livro vem imediatamente depois de Miqueias?	Marcos	2 Tessalonicenses	Deuteronômio	Naum	3	Naum vem depois de Miqueias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-33	médio	ordem bíblica	Qual livro vem imediatamente antes de Miqueias?	Levítico	Jonas	Malaquias	Colossenses	1	Jonas vem antes de Miqueias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-34	fácil	estrutura da Bíblia	A qual Testamento pertence Naum?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Naum pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Naum
chapters-34	difícil	estrutura da Bíblia	Quantos capítulos possui Naum?	2	4	5	3	3	Naum possui 3 capítulos.	Estrutura de Naum
next-34	médio	ordem bíblica	Qual livro vem imediatamente depois de Naum?	1 Timóteo	Josué	Habacuque	Lucas	2	Habacuque vem depois de Naum na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-34	médio	ordem bíblica	Qual livro vem imediatamente antes de Naum?	Miqueias	Mateus	1 Tessalonicenses	Números	0	Miqueias vem antes de Naum na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-35	fácil	estrutura da Bíblia	A qual Testamento pertence Habacuque?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Habacuque pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Habacuque
chapters-35	difícil	estrutura da Bíblia	Quantos capítulos possui Habacuque?	4	5	3	2	2	Habacuque possui 3 capítulos.	Estrutura de Habacuque
next-35	médio	ordem bíblica	Qual livro vem imediatamente depois de Habacuque?	Juízes	Sofonias	João	2 Timóteo	1	Sofonias vem depois de Habacuque na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-35	médio	ordem bíblica	Qual livro vem imediatamente antes de Habacuque?	Marcos	2 Tessalonicenses	Deuteronômio	Naum	3	Naum vem antes de Habacuque na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-36	fácil	estrutura da Bíblia	A qual Testamento pertence Sofonias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Sofonias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Sofonias
chapters-36	difícil	estrutura da Bíblia	Quantos capítulos possui Sofonias?	5	3	2	4	1	Sofonias possui 3 capítulos.	Estrutura de Sofonias
next-36	médio	ordem bíblica	Qual livro vem imediatamente depois de Sofonias?	Ageu	Atos	Tito	Rute	0	Ageu vem depois de Sofonias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-36	médio	ordem bíblica	Qual livro vem imediatamente antes de Sofonias?	1 Timóteo	Josué	Habacuque	Lucas	2	Habacuque vem antes de Sofonias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-37	fácil	estrutura da Bíblia	A qual Testamento pertence Ageu?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Ageu pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Ageu
chapters-37	difícil	estrutura da Bíblia	Quantos capítulos possui Ageu?	2	1	3	4	0	Ageu possui 2 capítulos.	Estrutura de Ageu
next-37	médio	ordem bíblica	Qual livro vem imediatamente depois de Ageu?	Romanos	Filemom	1 Samuel	Zacarias	3	Zacarias vem depois de Ageu na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-37	médio	ordem bíblica	Qual livro vem imediatamente antes de Ageu?	Juízes	Sofonias	João	2 Timóteo	1	Sofonias vem antes de Ageu na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-38	fácil	estrutura da Bíblia	A qual Testamento pertence Zacarias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Zacarias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Zacarias
chapters-38	difícil	estrutura da Bíblia	Quantos capítulos possui Zacarias?	13	15	19	14	3	Zacarias possui 14 capítulos.	Estrutura de Zacarias
next-38	médio	ordem bíblica	Qual livro vem imediatamente depois de Zacarias?	Hebreus	2 Samuel	Malaquias	1 Coríntios	2	Malaquias vem depois de Zacarias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-38	médio	ordem bíblica	Qual livro vem imediatamente antes de Zacarias?	Ageu	Atos	Tito	Rute	0	Ageu vem antes de Zacarias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-39	fácil	estrutura da Bíblia	A qual Testamento pertence Malaquias?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	0	Malaquias pertence ao Antigo Testamento na ordem protestante de 66 livros.	Estrutura de Malaquias
chapters-39	difícil	estrutura da Bíblia	Quantos capítulos possui Malaquias?	5	6	4	3	2	Malaquias possui 4 capítulos.	Estrutura de Malaquias
next-39	médio	ordem bíblica	Qual livro vem imediatamente depois de Malaquias?	1 Reis	Mateus	2 Coríntios	Tiago	1	Mateus vem depois de Malaquias na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-39	médio	ordem bíblica	Qual livro vem imediatamente antes de Malaquias?	Romanos	Filemom	1 Samuel	Zacarias	3	Zacarias vem antes de Malaquias na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-40	fácil	estrutura da Bíblia	A qual Testamento pertence Mateus?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Mateus pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Mateus
chapters-40	difícil	estrutura da Bíblia	Quantos capítulos possui Mateus?	33	28	27	29	1	Mateus possui 28 capítulos.	Estrutura de Mateus
next-40	médio	ordem bíblica	Qual livro vem imediatamente depois de Mateus?	Marcos	Gálatas	1 Pedro	2 Reis	0	Marcos vem depois de Mateus na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-40	médio	ordem bíblica	Qual livro vem imediatamente antes de Mateus?	Hebreus	2 Samuel	Malaquias	1 Coríntios	2	Malaquias vem antes de Mateus na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-41	fácil	estrutura da Bíblia	A qual Testamento pertence Marcos?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Marcos pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Marcos
chapters-41	difícil	estrutura da Bíblia	Quantos capítulos possui Marcos?	16	15	17	21	0	Marcos possui 16 capítulos.	Estrutura de Marcos
next-41	médio	ordem bíblica	Qual livro vem imediatamente depois de Marcos?	Efésios	2 Pedro	1 Crônicas	Lucas	3	Lucas vem depois de Marcos na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-41	médio	ordem bíblica	Qual livro vem imediatamente antes de Marcos?	1 Reis	Mateus	2 Coríntios	Tiago	1	Mateus vem antes de Marcos na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-42	fácil	estrutura da Bíblia	A qual Testamento pertence Lucas?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Lucas pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Lucas
chapters-42	difícil	estrutura da Bíblia	Quantos capítulos possui Lucas?	23	25	29	24	3	Lucas possui 24 capítulos.	Estrutura de Lucas
next-42	médio	ordem bíblica	Qual livro vem imediatamente depois de Lucas?	1 João	2 Crônicas	João	Filipenses	2	João vem depois de Lucas na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-42	médio	ordem bíblica	Qual livro vem imediatamente antes de Lucas?	Marcos	Gálatas	1 Pedro	2 Reis	0	Marcos vem antes de Lucas na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-43	fácil	estrutura da Bíblia	A qual Testamento pertence João?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	João pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de João
chapters-43	difícil	estrutura da Bíblia	Quantos capítulos possui João?	22	26	21	20	2	João possui 21 capítulos.	Estrutura de João
next-43	médio	ordem bíblica	Qual livro vem imediatamente depois de João?	Esdras	Atos	Colossenses	2 João	1	Atos vem depois de João na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-43	médio	ordem bíblica	Qual livro vem imediatamente antes de João?	Efésios	2 Pedro	1 Crônicas	Lucas	3	Lucas vem antes de João na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-44	fácil	estrutura da Bíblia	A qual Testamento pertence Atos?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Atos pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Atos
chapters-44	difícil	estrutura da Bíblia	Quantos capítulos possui Atos?	33	28	27	29	1	Atos possui 28 capítulos.	Estrutura de Atos
next-44	médio	ordem bíblica	Qual livro vem imediatamente depois de Atos?	Romanos	1 Tessalonicenses	3 João	Neemias	0	Romanos vem depois de Atos na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-44	médio	ordem bíblica	Qual livro vem imediatamente antes de Atos?	1 João	2 Crônicas	João	Filipenses	2	João vem antes de Atos na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-45	fácil	estrutura da Bíblia	A qual Testamento pertence Romanos?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Romanos pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Romanos
chapters-45	difícil	estrutura da Bíblia	Quantos capítulos possui Romanos?	16	15	17	21	0	Romanos possui 16 capítulos.	Estrutura de Romanos
next-45	médio	ordem bíblica	Qual livro vem imediatamente depois de Romanos?	2 Tessalonicenses	Judas	Ester	1 Coríntios	3	1 Coríntios vem depois de Romanos na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-45	médio	ordem bíblica	Qual livro vem imediatamente antes de Romanos?	Esdras	Atos	Colossenses	2 João	1	Atos vem antes de Romanos na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-46	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Coríntios?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	1 Coríntios pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Coríntios
chapters-46	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Coríntios?	15	17	21	16	3	1 Coríntios possui 16 capítulos.	Estrutura de 1 Coríntios
next-46	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Coríntios?	Apocalipse	Jó	2 Coríntios	1 Timóteo	2	2 Coríntios vem depois de 1 Coríntios na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-46	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Coríntios?	Romanos	1 Tessalonicenses	3 João	Neemias	0	Romanos vem antes de 1 Coríntios na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-47	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Coríntios?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	2 Coríntios pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Coríntios
chapters-47	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Coríntios?	14	18	13	12	2	2 Coríntios possui 13 capítulos.	Estrutura de 2 Coríntios
next-47	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Coríntios?	Salmos	Gálatas	2 Timóteo	Gênesis	1	Gálatas vem depois de 2 Coríntios na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-47	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Coríntios?	2 Tessalonicenses	Judas	Ester	1 Coríntios	3	1 Coríntios vem antes de 2 Coríntios na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-48	fácil	estrutura da Bíblia	A qual Testamento pertence Gálatas?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Gálatas pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Gálatas
chapters-48	difícil	estrutura da Bíblia	Quantos capítulos possui Gálatas?	11	6	5	7	1	Gálatas possui 6 capítulos.	Estrutura de Gálatas
next-48	médio	ordem bíblica	Qual livro vem imediatamente depois de Gálatas?	Efésios	Tito	Êxodo	Provérbios	0	Efésios vem depois de Gálatas na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-48	médio	ordem bíblica	Qual livro vem imediatamente antes de Gálatas?	Apocalipse	Jó	2 Coríntios	1 Timóteo	2	2 Coríntios vem antes de Gálatas na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-49	fácil	estrutura da Bíblia	A qual Testamento pertence Efésios?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Efésios pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Efésios
chapters-49	difícil	estrutura da Bíblia	Quantos capítulos possui Efésios?	6	5	7	11	0	Efésios possui 6 capítulos.	Estrutura de Efésios
next-49	médio	ordem bíblica	Qual livro vem imediatamente depois de Efésios?	Filemom	Levítico	Eclesiastes	Filipenses	3	Filipenses vem depois de Efésios na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-49	médio	ordem bíblica	Qual livro vem imediatamente antes de Efésios?	Salmos	Gálatas	2 Timóteo	Gênesis	1	Gálatas vem antes de Efésios na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-50	fácil	estrutura da Bíblia	A qual Testamento pertence Filipenses?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Filipenses pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Filipenses
chapters-50	difícil	estrutura da Bíblia	Quantos capítulos possui Filipenses?	3	5	6	4	3	Filipenses possui 4 capítulos.	Estrutura de Filipenses
next-50	médio	ordem bíblica	Qual livro vem imediatamente depois de Filipenses?	Números	Cântico dos Cânticos	Colossenses	Hebreus	2	Colossenses vem depois de Filipenses na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-50	médio	ordem bíblica	Qual livro vem imediatamente antes de Filipenses?	Efésios	Tito	Êxodo	Provérbios	0	Efésios vem antes de Filipenses na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-51	fácil	estrutura da Bíblia	A qual Testamento pertence Colossenses?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Colossenses pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Colossenses
chapters-51	difícil	estrutura da Bíblia	Quantos capítulos possui Colossenses?	5	6	4	3	2	Colossenses possui 4 capítulos.	Estrutura de Colossenses
next-51	médio	ordem bíblica	Qual livro vem imediatamente depois de Colossenses?	Isaías	1 Tessalonicenses	Tiago	Deuteronômio	1	1 Tessalonicenses vem depois de Colossenses na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-51	médio	ordem bíblica	Qual livro vem imediatamente antes de Colossenses?	Filemom	Levítico	Eclesiastes	Filipenses	3	Filipenses vem antes de Colossenses na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-52	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Tessalonicenses?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	1 Tessalonicenses pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Tessalonicenses
chapters-52	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Tessalonicenses?	7	5	4	6	1	1 Tessalonicenses possui 5 capítulos.	Estrutura de 1 Tessalonicenses
next-52	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Tessalonicenses?	2 Tessalonicenses	1 Pedro	Josué	Jeremias	0	2 Tessalonicenses vem depois de 1 Tessalonicenses na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-52	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Tessalonicenses?	Números	Cântico dos Cânticos	Colossenses	Hebreus	2	Colossenses vem antes de 1 Tessalonicenses na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-53	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Tessalonicenses?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	2 Tessalonicenses pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Tessalonicenses
chapters-53	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Tessalonicenses?	3	2	4	5	0	2 Tessalonicenses possui 3 capítulos.	Estrutura de 2 Tessalonicenses
next-53	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Tessalonicenses?	2 Pedro	Juízes	Lamentações	1 Timóteo	3	1 Timóteo vem depois de 2 Tessalonicenses na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-53	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Tessalonicenses?	Isaías	1 Tessalonicenses	Tiago	Deuteronômio	1	1 Tessalonicenses vem antes de 2 Tessalonicenses na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-54	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Timóteo?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	1 Timóteo pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Timóteo
chapters-54	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Timóteo?	5	7	11	6	3	1 Timóteo possui 6 capítulos.	Estrutura de 1 Timóteo
next-54	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Timóteo?	Rute	Ezequiel	2 Timóteo	1 João	2	2 Timóteo vem depois de 1 Timóteo na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-54	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Timóteo?	2 Tessalonicenses	1 Pedro	Josué	Jeremias	0	2 Tessalonicenses vem antes de 1 Timóteo na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-55	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Timóteo?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	2 Timóteo pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Timóteo
chapters-55	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Timóteo?	5	6	4	3	2	2 Timóteo possui 4 capítulos.	Estrutura de 2 Timóteo
next-55	médio	ordem bíblica	Qual livro vem imediatamente depois de 2 Timóteo?	Daniel	Tito	2 João	1 Samuel	1	Tito vem depois de 2 Timóteo na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-55	médio	ordem bíblica	Qual livro vem imediatamente antes de 2 Timóteo?	2 Pedro	Juízes	Lamentações	1 Timóteo	3	1 Timóteo vem antes de 2 Timóteo na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-56	fácil	estrutura da Bíblia	A qual Testamento pertence Tito?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Tito pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Tito
chapters-56	difícil	estrutura da Bíblia	Quantos capítulos possui Tito?	5	3	2	4	1	Tito possui 3 capítulos.	Estrutura de Tito
next-56	médio	ordem bíblica	Qual livro vem imediatamente depois de Tito?	Filemom	3 João	2 Samuel	Oseias	0	Filemom vem depois de Tito na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-56	médio	ordem bíblica	Qual livro vem imediatamente antes de Tito?	Rute	Ezequiel	2 Timóteo	1 João	2	2 Timóteo vem antes de Tito na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-57	fácil	estrutura da Bíblia	A qual Testamento pertence Filemom?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Filemom pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Filemom
chapters-57	difícil	estrutura da Bíblia	Quantos capítulos possui Filemom?	1	3	2	5	0	Filemom possui 1 capítulo.	Estrutura de Filemom
next-57	médio	ordem bíblica	Qual livro vem imediatamente depois de Filemom?	Judas	1 Reis	Joel	Hebreus	3	Hebreus vem depois de Filemom na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-57	médio	ordem bíblica	Qual livro vem imediatamente antes de Filemom?	Daniel	Tito	2 João	1 Samuel	1	Tito vem antes de Filemom na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-58	fácil	estrutura da Bíblia	A qual Testamento pertence Hebreus?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Hebreus pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Hebreus
chapters-58	difícil	estrutura da Bíblia	Quantos capítulos possui Hebreus?	12	14	18	13	3	Hebreus possui 13 capítulos.	Estrutura de Hebreus
next-58	médio	ordem bíblica	Qual livro vem imediatamente depois de Hebreus?	2 Reis	Amós	Tiago	Apocalipse	2	Tiago vem depois de Hebreus na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-58	médio	ordem bíblica	Qual livro vem imediatamente antes de Hebreus?	Filemom	3 João	2 Samuel	Oseias	0	Filemom vem antes de Hebreus na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-59	fácil	estrutura da Bíblia	A qual Testamento pertence Tiago?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	Tiago pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de Tiago
chapters-59	difícil	estrutura da Bíblia	Quantos capítulos possui Tiago?	6	7	5	4	2	Tiago possui 5 capítulos.	Estrutura de Tiago
next-59	médio	ordem bíblica	Qual livro vem imediatamente depois de Tiago?	Obadias	1 Pedro	Gênesis	1 Crônicas	1	1 Pedro vem depois de Tiago na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-59	médio	ordem bíblica	Qual livro vem imediatamente antes de Tiago?	Judas	1 Reis	Joel	Hebreus	3	Hebreus vem antes de Tiago na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-60	fácil	estrutura da Bíblia	A qual Testamento pertence 1 Pedro?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	1 Pedro pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 1 Pedro
chapters-60	difícil	estrutura da Bíblia	Quantos capítulos possui 1 Pedro?	7	5	4	6	1	1 Pedro possui 5 capítulos.	Estrutura de 1 Pedro
next-60	médio	ordem bíblica	Qual livro vem imediatamente depois de 1 Pedro?	2 Pedro	Êxodo	2 Crônicas	Jonas	0	2 Pedro vem depois de 1 Pedro na ordem bíblica comum.	Ordem canônica dos 66 livros
previous-60	médio	ordem bíblica	Qual livro vem imediatamente antes de 1 Pedro?	2 Reis	Amós	Tiago	Apocalipse	2	Tiago vem antes de 1 Pedro na ordem bíblica comum.	Ordem canônica dos 66 livros
testament-61	fácil	estrutura da Bíblia	A qual Testamento pertence 2 Pedro?	Antigo Testamento	Novo Testamento	Livros apócrifos	Não é livro bíblico	1	2 Pedro pertence ao Novo Testamento na ordem protestante de 66 livros.	Estrutura de 2 Pedro
chapters-61	difícil	estrutura da Bíblia	Quantos capítulos possui 2 Pedro?	3	2	4	5	0	2 Pedro possui 3 capítulos.	Estrutura de 2 Pedro
